Timestamp	Type	X	Y	Z
140710592	ACC	-0.7326257	-5.5401826	8.293514
140710601	ACC	-1.3180081	-5.3282957	8.832211
140710612	ACC	-0.9900024	-5.45878	8.034941
140710624	ACC	-0.79008657	-5.1547165	8.145074
140710634	ACC	-0.91817635	-5.019444	8.688558
140710641	ACC	-1.4987702	-5.1642933	8.935161
140710652	ACC	-1.9931729	-5.7724204	10.365696
140710662	ACC	-1.8363527	-6.089652	9.295488
140710672	ACC	-2.6755204	-5.580884	8.207323
140710684	ACC	-3.2788591	-5.097255	7.144298
140710693	ACC	-3.716998	-4.787206	7.052121
140710702	ACC	-4.247314	-5.097255	7.515399
140710713	ACC	-4.570531	-5.183447	7.36217
140710722	ACC	-5.0541596	-4.9428296	7.5046253
140710733	ACC	-4.4699745	-4.8662148	6.1902084
140710742	ACC	-4.43885	-4.996699	5.9998693
140710753	ACC	-4.829105	-5.097255	6.445191
140710762	ACC	-4.6830587	-4.7441106	6.5218053
140710773	ACC	-4.912902	-4.88896	6.4607534
140710782	ACC	-4.9775453	-5.1020436	6.0202203
140710793	ACC	-4.6483426	-5.395334	5.969942
140710802	ACC	-4.4879313	-5.5150437	5.731719
140710813	ACC	-4.807557	-5.142745	5.2875943
140710823	ACC	-5.0900726	-4.951209	5.112818
140710834	ACC	-5.1906295	-5.081693	5.2037973
140710841	ACC	-4.900931	-5.103241	5.3486466
140710852	ACC	-4.655525	-5.0374002	5.583278
140710861	ACC	-4.687847	-4.8722005	5.5030727
140710872	ACC	-5.647922	-4.6016555	8.395268
140710882	ACC	-5.851429	-4.759673	6.513426
140710893	ACC	-8.985439	-4.8398786	8.810662
140710902	ACC	-6.8689647	-2.777274	5.403713
140710913	ACC	-5.04578	-4.059369	5.2780175
140710921	ACC	-4.4208937	-5.9663506	5.1200004
140710932	ACC	-4.734534	-5.234922	4.981137
140710942	ACC	-4.748899	-4.92607	4.973954
140710953	ACC	-5.00867	-4.6519337	4.830302
140710962	ACC	-5.2265425	-4.0617633	4.770447
140710973	ACC	-5.397728	-3.870227	5.1343656
140710984	ACC	-5.5880666	-3.726575	5.1475334
140710995	ACC	-5.946	-3.904943	5.1343656
140711005	ACC	-6.5960255	-4.1024647	5.4551888
140711016	ACC	-6.5936313	-4.152743	5.7185507
140711025	ACC	-5.9759274	-3.9312792	5.6527104
140711036	ACC	-5.973533	-3.7457285	5.985504
140711045	ACC	-6.2991447	-4.408922	5.6898203
140711054	ACC	-6.0285997	-4.344279	4.9548006
140711064	ACC	-5.579687	-4.3179426	4.8781857
140711076	ACC	-5.4922986	-4.829105	5.517438
140711088	ACC	-5.6527104	-5.2037973	5.8095303
140711096	ACC	-6.063316	-5.1247888	5.542577
140711106	ACC	-6.6893997	-4.7800236	5.140351
